step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
244,14396,244,0.08882791512912912,0.0,0.5,,,,,
245,14461,245,0.04205728997686492,0.0,0.6666666666666666,,,,,
246,14478,246,0.21142647443935858,0.0,0.6666666666666666,,,,,
247,14551,247,0.03477539911425791,0.0,0.6666666666666666,,,,,
248,14608,248,0.03844035376711482,1.0,1.0,,,,,
249,14705,249,0.0355578951541338,0.0,0.6666666666666666,0.03888525557009416,1.0,1.0,,
250,14738,250,0.09808468231523876,0.0,0.5,,,,,
251,14827,251,0.029957822722674544,1.0,1.0,,,,,
252,14924,252,0.059672429440676446,0.0,0.5,,,,,
253,14989,253,0.056134655489186114,0.0,0.0,,,,,
254,15030,254,0.024292922035441734,1.0,1.0,,,,,
255,15103,255,0.06669678376105165,0.0,0.6666666666666666,,,,,
256,15184,256,0.028990091176427087,1.0,1.0,,,,,
257,15249,257,0.031871323808645685,1.0,1.0,0.022132951081730426,1.0,1.0,,
258,15298,258,0.05156364455901591,0.0,0.5,,,,,
259,15395,259,0.03843018943294737,0.0,0.6666666666666666,,,,,
260,15420,260,0.10127770292533873,0.0,0.6666666666666666,,,,,
261,15445,261,0.03888192042475566,1.0,1.0,,,,,
262,15486,262,0.06716807406759472,0.0,0.6666666666666666,,,,,
263,15535,263,0.06516263992897924,0.0,0.6666666666666666,,,,,
264,15592,264,0.05548883307393616,0.0,0.6666666666666666,,,,,
265,15681,265,0.028793878883384007,0.0,0.6666666666666666,0.05590264046890903,0.0,0.6666666666666666,,
266,15722,266,0.06467686967189366,0.0,0.6666666666666666,,,,,
267,15779,267,0.019791113169480273,1.0,1.0,,,,,
268,15852,268,0.034220388104765034,0.0,0.6666666666666666,,,,,
269,15901,269,0.023397615338811493,1.0,1.0,,,,,
270,15966,270,0.07997704471679754,0.0,0.6666666666666666,,,,,
271,16047,271,0.018282767525201055,1.0,1.0,,,,,
272,16128,272,0.04154518765117246,0.0,0.6666666666666666,,,,,
273,16225,273,0.045403488456304326,0.0,0.6666666666666666,0.048636448667717706,0.0,0.6666666666666666,,
274,16290,274,0.023019915037093597,1.0,1.0,,,,,
275,16307,275,0.31819306978839446,0.0,0.5,,,,,
276,16348,276,0.09441237695747985,0.0,0.6666666666666666,,,,,
277,16389,277,0.11410320114612112,0.0,0.6666666666666666,,,,,
278,16438,278,0.050687491105083304,1.0,1.0,,,,,
279,16511,279,0.02390454141998715,1.0,1.0,,,,,
280,16600,280,0.03398623874723192,0.0,0.6666666666666666,,,,,
281,16697,281,0.02647824171959049,1.0,1.0,0.05652392146515517,0.0,0.6666666666666666,,
282,16794,282,0.02053244595223077,1.0,1.0,,,,,
283,16859,283,0.02039703882853246,1.0,1.0,,,,,
284,16884,284,0.024074990258862575,1.0,1.0,,,,,
285,16917,285,0.2031287804826934,0.0,0.0,,,,,
286,16982,286,0.02553318243863032,1.0,1.0,,,,,
287,16999,287,0.19482464920729398,0.0,0.0,,,,,
288,17064,288,0.051966936906137566,0.0,0.6666666666666666,,,,,
289,17129,289,0.06597702287398534,0.0,0.6666666666666666,0.06801513440414864,0.0,0.5,,
290,17202,290,0.03139586059341835,1.0,1.0,,,,,
291,17291,291,0.020833689830945912,1.0,1.0,,,,,
292,17300,292,0.20885173166083407,1.0,1.0,,,,,
293,17365,293,0.019892040196446033,1.0,1.0,,,,,
294,17430,294,0.022239485898098793,1.0,1.0,,,,,
295,17471,295,0.06646517374912218,0.0,0.6666666666666666,,,,,
296,17504,296,0.028796091142485238,1.0,1.0,,,,,
297,17561,297,0.03843867884826197,1.0,1.0,0.036481388625699766,1.0,1.0,,
298,17674,298,0.04566370553604558,0.0,0.6666666666666666,,,,,
299,17739,299,0.06496715467610556,0.0,0.6666666666666666,,,,,
300,17820,300,0.04958345191761692,0.0,0.6666666666666666,,,,,
301,17869,301,0.04326759066646142,1.0,1.0,,,,,
302,17934,302,0.04945380688111072,0.0,0.6666666666666666,,,,,
303,17991,303,0.03893417208420163,1.0,1.0,,,,,
304,18064,304,0.02423742083794827,1.0,1.0,,,,,
305,18137,305,0.02029255179801617,1.0,1.0,0.03904196515968215,1.0,1.0,,
306,18226,306,0.05058772651198193,0.0,0.6666666666666666,,,,,
307,18307,307,0.03358639589503582,1.0,1.0,,,,,
308,18348,308,0.03642178580819746,1.0,1.0,,,,,
309,18445,309,0.05072864087096908,0.0,0.6666666666666666,,,,,
310,18478,310,0.028609805720043367,1.0,1.0,,,,,
311,18551,311,0.03493698915465858,1.0,1.0,,,,,
312,18584,312,0.03373376980947796,1.0,1.0,,,,,
313,18609,313,0.1450864925784602,0.0,0.6666666666666666,0.03409423999388107,1.0,1.0,,
314,18706,314,0.024437223169088612,1.0,1.0,,,,,
315,18755,315,0.12783239589441409,0.0,0.0,,,,,
316,18844,316,0.026477569266816398,1.0,1.0,,,,,
317,18893,317,0.041691788853070955,1.0,1.0,,,,,
318,18926,318,0.03900361145652824,1.0,1.0,,,,,
319,18983,319,0.11361136029552134,0.0,0.0,,,,,
320,19056,320,0.04232581851965936,0.0,0.6666666666666666,,,,,
321,19081,321,0.10595016340101816,0.0,0.6666666666666666,0.020288106618147773,1.0,1.0,,
322,19114,322,0.05130354846919545,1.0,1.0,,,,,
323,19163,323,0.030386090503137286,1.0,1.0,,,,,
324,19172,324,0.4586953507189173,0.0,0.6666666666666666,,,,,
325,19229,325,0.051022558181700456,0.0,0.5,,,,,
326,19310,326,0.03122268184641871,1.0,1.0,,,,,
327,19319,327,0.05136421200444602,1.0,1.0,,,,,
328,19336,328,0.2064507554944794,0.0,0.6666666666666666,,,,,
329,19385,329,0.08941499672689436,0.0,0.6666666666666666,0.052621176249168844,0.0,0.6666666666666666,,
330,19434,330,0.027856600970258872,1.0,1.0,,,,,
331,19507,331,0.03763562043578228,1.0,1.0,,,,,
332,19588,332,0.04382441910946,0.0,0.6666666666666666,,,,,
333,19597,333,0.21053833231329916,0.0,0.0,,,,,
334,19694,334,0.03297700858359803,0.0,0.6666666666666666,,,,,
335,19743,335,0.0484534284726639,0.0,0.6666666666666666,,,,,
